"id_job","duration","required_work_experience","job_type","salary_period","salary","position_name","latitude","longitude","applied"
"5e625d084b1bg8912g49c7g5225g9428cc6f","","No","NONE","","","Home health aide (HHA)",41.046268463134766,-73.767204284667969,37
"6888f0417405gb635g4376gf066g6be9897e","PERMANENT","No","FULL_TIME","","","Server & wait staff",40.495853424072266,-74.4437026977539,37
"115fe23a8128g81a8g4e96g1ba8g24d76398","PERMANENT","1-2 Years","PART_TIME","HOUR",13,"After school group leader",40.844783782958984,-73.864830017089844,37
"2ed4e2477576g9c91g4340g71f0g435f0373","PERMANENT","1-2 Years","FULL_TIME","","","Security guard",40.72955322265625,-74.066352844238281,36
"760afd3762afgba2eg4962geba5gcc060e8b","PERMANENT","1-2 Years","FULL_TIME","","","Dispatcher",40.682056427001953,-73.86944580078125,36
"a10b6167f1fcgbfc4g432ag9901geb44e22f","PERMANENT","2-3 Years","FULL_TIME","","","Banquet Sales Manager",40.762546539306641,-73.98248291015625,36
"c3a0c352c42ag8904g4ec3g2b1fg8c9c35f4","PERMANENT","No","PART_TIME","","","Cook",40.863502502441406,-74.035728454589844,36
"2cd6d574c9a4g95c9g4d9agb4cdgbe395363","","1-2 Years","NONE","","","Licensed security guard",40.753711700439453,-73.986686706542969,36
"6a12f713e9c6gba27g4578gd10eg67ba1025","PERMANENT","1-2 Years","PART_TIME","","","Cleaner",40.734413146972656,-73.882354736328125,36
"2dcdf7881641g838eg48d4g9e0bg94015580","","No","NONE","HOUR",10,"Fork lift operator",40.719501495361328,-73.843635559082031,36
"3d1a2464f19cg9076g4f3ag509cg88ae9f53","PERMANENT","No","FULL_TIME","","","Security guard",40.717754364013672,-74.043144226074219,36
"5f8c221ade8bg8873g46bbg59b5gce6fd512","PERMANENT","No","FULL_TIME","MONTH",1638,"Army Soldier",40.848773956298828,-73.9320068359375,36
"73ee981fd2e1gbb3fg4622gc05cgae33ddba","PERMANENT","No","FULL_TIME","HOUR",11,"Packer & Assembler",40.629444122314453,-73.653526306152344,36
"90915b161a45gb3a0g4ba0ge0fcg8d707745","PERMANENT","2-3 Years","PART_TIME","HOUR",11,"Front desk & receptionist",40.773563385009766,-73.956558227539062,36
"a31b249cee23ga1b7g4e74gb57fge99de27f","","1-2 Years","NONE","HOUR",13,"Server & wait staff",40.772842407226562,-73.955818176269531,36
